Institution name,Region,Institution type,Medical Dep,Sociology,Agri Dep,Business dep,Collaboration with in-country decision makers, current relationship/partnership with government,past relationship/partnership with government or current relationship with other major research instititions,"no govt collaboration, no current partnerships with other major research institutions ",information is not readily available online,Existing public health research capacity,Strength of capacity building efforts (especially for women),Adminstrative capacity to manage large grants,Total Score of 4 Criteria,Number of awards ,National centers for excellence,PI awards form top WHO list,African union award ,Overall award score,Specialized research lab,Specific library to students,Digital research spaces and resources to students,Institutional ethics review,Digital research spaces and resources to students2,Input Overall Input Score,Publications ,Overall Research Score,Completed atleast one international grant,Completed atleast one international grant3,Access to financial audits,Overall International/National Donors & Grants Score,number of collaborations,Faculty/institution directly advises Ministry of Health,Overall Collaboration Score,Input Overall Output Score,Input percentage of students or trainees who are awarded  religious and ethnic minority fellowships,Column4,Institution wide policies available,percentage that are female and that receive  fellowships,Percentage of female faculty,Gender ratio for students/trainees,Policies/outreaches to increase number of female students,Overall Equal Opportunity Score,"Number of grey articles published, in health sciences",Participation in national institution similar to national science committee,Participation in regional/international institutions to help design public health policies,Overall Policy Impact Score,Input Overall Impact Score,Overall Score
Accra Technical University,Ghana,Academic and Research Institutions,Yes,Yes,No,Yes,3,1,0,0,0,3,2,2,10,0,0,0,0,0,1,1,1,0,4,4,121,0,1,1,1,4,0,0,0,4,0,0,0,0.2,40,0,0,4,0,0,0,0,4,12
Addis Ababa University,Ethiopia,Academic and Research Institutions,Yes,Yes,Yes,Yes,3,1,0,0,0,3,3,3,12,4,1,0,0,1,1,1,1,1,5,6,0,0,1,1,0,4,53,0,4,8,0,0,1,0,0,0,1,1,3140,1,0,5,6,22
Addis Continental Institute of Public Health,Ethiopia,Academic and Research Institutions,Yes,No,No,No,3,1,0,0,0,3,3,3,12,2,1,0,0,1,0,1,0,0,2,3,115,0,1,1,0,4,10,0,2,6,0,0,1,0,0,0,0,1,123,1,1,4,5,14
Africa Health Research Institute,South Africa,Research Counsils,Yes,No,No,No,3,1,0,0,0,3,3,3,12,105,0,0,0,1,1,1,1,0,4,5,16469,5,1,1,0,4,0,0,0,9,0,0,0,0,0,0,0,0,30,0,0,1,1,15
Africa Institute of South Africa,South Africa,Research Counsils,No,No,No,No,3,1,0,0,0,2,3,2,10,0,0,0,0,0,0,1,1,0,3,3,22953,5,0,0,0,3,26,0,4,12,0,0,0,0,0,0,0,0,31,0,0,1,1,16
Africa University,Zimbabwe,Academic and Research Institutions,Yes,Yes,Yes,Yes,3,1,0,0,0,2,3,2,10,49,0,0,0,5,0,0,1,1,3,8,1626,1,1,0,0,4,3,0,1,6,0,0,1,0,0,0.666,0,1,2,1,0,1,2,16
African Center for Cities,South Africa,Academic and Research Institutions,No,No,No,No,2,0,1,0,0,3,2,3,10,84,0,0,0,1,0,0,0,0,1,2,773,0,1,1,0,4,10,0,2,6,0,0,0,0,0,0,0,0,31,0,0,1,1,9
African Center for Economic Transformation,Ghana,Research Counsils,No,No,No,Yes,3,1,0,0,0,3,3,3,12,1,0,0,0,1,1,0,0,0,2,3,0,0,1,0,1,5,1,0,1,6,0,0,0,0,0.545454545,0,0,0,0,0,0,0,0,9
African Heritage Institution,Nigeria,Research Counsils,No,No,No,Yes,3,1,0,0,0,3,1,3,10,0,0,0,0,0,0,0,1,0,3,3,0,0,0,0,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6
African Institute for Development Policy (AFIDEP),Kenya,Research Counsils,Yes,Yes,Yes,No,3,1,0,0,0,3,2,3,11,0,0,0,0,1,0,0,0,0,1,0,12,0,0,0,0,3,5,0,2,5,0,0,0,0,0,0,0,1,18,0,0,1,2,7
